"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"38","176.54215297605157","188.27128485522738","0.01318359375","0.0166015625","0.009765625","1560","0.00032383778071401676","24","0.00032383778071401676","0","0.00032383778071401676","0.00032383778071401676","29:68;49:68","29:0.00201011325832981;49:0.011211551984693091","29:0.0026197139509423206;49:0.012275537252173646","0.01318359375","Yes"
"39","149.46071884753493","188.62912234986604","0.013916015625","0.02099609375","0.0068359375","1560","0.00034918160024799394","24","0.00034918160024799394","0","0.00034918160024799394","0.00034918160024799394","53:68;33:68","53:0.006708540748220498;33:0.001906270292407336","53:0.005760113229707792;33:0.001633546597126001","0.013916015625","Yes"
"40","158.1922525879624","191.78256425781376","0.0208740234375","0.0263671875","0.015380859375","1560","0.00023471256272314723","24","0.00023471256272314723","0","0.00023471256272314723","0.00023471256272314723","41:68","41:0.0016281764537619259","41:0.0017277595096942266","0.0208740234375","Yes"
"41","171.61050012532687","111.85437497507027","0.1241455078125","0.097412109375","0.15087890625","1560","0.0001531011726548207","24","0.0001531011726548207","0","0.0001531011726548207","0.0001531011726548207","40:68;42:68;36:68","40:0.0016281764537619259;42:0.0024831504548012973;36:0.0022420999549935816","40:0.0017277595096942266;42:0.0020760811484192288;36:0.0019137119588878704","0.1241455078125","Yes"
"42","150.62401121439888","45.24059015291591","0.012451171875","0.011962890625","0.012939453125","1560","0.00019731628870215559","24","0.00019731628870215559","0","0.00019731628870215559","0.00019731628870215559","41:68;43:68","41:0.0024831504548012973;43:0.004315443640075717","41:0.0020760811484192288;43:0.0076246200982505175","0.012451171875","Yes"
"43","111.18416225229012","84.80718242836248","0.1258544921875","0.127685546875","0.1240234375","1560","0.0006014383923378116","24","0.0006014383923378116","0","0.0006014383923378116","0.0006014383923378116","42:68;56:68;44:68","42:0.004315443640075717;56:0.0030978305382295956;44:0.004456664276055344","42:0.0076246200982505175;56:0.007203968733509036;44:0.02941196450590594","0.1258544921875","Yes"
"44","152.6243520584662","156.92502718726922","0.005615234375","0.01123046875","0.00244140625","1560","0.00035235814801757226","24","0.00035235814801757226","0","0.00035235814801757226","0.00035235814801757226","45:68;43:68","45:0.0029043959114842532;43:0.004456664276055344","45:0.002380695772364577;43:0.02941196450590594","0.005615234375","Yes"
"45","191.33277483380564","160.63742602006616","0.0538330078125","0.05517578125","0.052490234375","1560","0.00013798487081552205","24","0.00013798487081552205","0","0.00013798487081552205","0.00013798487081552205","44:68;46:68;37:68","44:0.0029043959114842532;46:0.0023513377745637;37:0.0028369741189080977","44:0.002380695772364577;46:0.002677447703805097;37:0.0021954827336239657","0.0538330078125","Yes"
"46","130.678736523313","13.445969679954958","0.013671875","0.012939453125","0.014404296875","1560","0.00039833598657479434","24","0.00039833598657479434","0","0.00039833598657479434","0.00039833598657479434","45:68;47:68","45:0.0023513377745637;47:0.0026732163883754767","45:0.002677447703805097;47:0.0024545028261090396","0.013671875","Yes"
"47","153.92547498881748","55.9031165565524","0.030029296875","0.0361328125","0.02392578125","1560","0.00023755262137545606","24","0.00023755262137545606","0","0.00023755262137545606","0.00023755262137545606","48:68;57:68;46:68","48:0.001742420524100896;57:0.0033322297537601298;46:0.0026732163883754767","48:0.0016312065560366018;57:0.017769432090692594;46:0.0024545028261090396","0.030029296875","Yes"
"48","181.5553200466488","63.91286985730292","0.0078125","0.012451171875","0.003173828125","1560","0.00022551470575142376","24","0.00022551470575142376","0","0.00022551470575142376","0.00022551470575142376","47:68;49:68","47:0.001742420524100896;49:0.013513163518098475","47:0.0016312065560366018;49:0.010668414438119167","0.0078125","Yes"
"49","105.62904419506582","27.833356650994286","0.0443115234375","0.042236328125","0.04638671875","1560","0.0003054671017649341","24","0.0003054671017649341","0","0.0003054671017649341","0.0003054671017649341","48:68;50:68;38:68","48:0.013513163518098475;50:0.00717464867596726;38:0.011211551984693091","48:0.010668414438119167;50:0.020726156419209024;38:0.012275537252173646","0.0443115234375","Yes"
"50","140.19018895921266","6.088822544320372","0.005126953125","0.0078125","0.00244140625","1560","0.0002686555450786334","24","0.0002686555450786334","0","0.0002686555450786334","0.0002686555450786334","49:68;51:68","49:0.00717464867596726;51:0.0028298110128262277","49:0.020726156419209024;51:0.00296604515583182","0.005126953125","Yes"
"51","110.09744533922098","104.36807006811497","0.0821533203125","0.089111328125","0.0751953125","1560","0.00025280673004177264","24","0.00025280673004177264","0","0.00025280673004177264","0.00025280673004177264","50:68;52:68;58:68","50:0.0028298110128262277;52:0.0015563890288306514;58:0.0024462700253803094","50:0.00296604515583182;52:0.003032035799339805;58:0.002086158189259335","0.0821533203125","Yes"
"52","138.84331112642909","136.08835444636966","0.0059814453125","0.0087890625","0.003173828125","1560","0.00027462663216293163","24","0.00027462663216293163","0","0.00027462663216293163","0.00027462663216293163","51:68;53:68","51:0.0015563890288306514;53:0.0024971149298973205","51:0.003032035799339805;53:0.003230549732839094","0.0059814453125","Yes"
"53","195.48204801721636","12.804384331505569","0.0469970703125","0.053955078125","0.0400390625","1560","0.00018901970141607714","24","0.00018901970141607714","0","0.00018901970141607714","0.00018901970141607714","39:68;52:68;54:68","39:0.006708540748220498;52:0.0024971149298973205;54:0.006106586378258699","39:0.005760113229707792;52:0.003230549732839094;54:0.005084898947048583","0.0469970703125","Yes"
"54","145.86744492081027","159.04590084465812","0.008544921875","0.009033203125","0.008056640625","1560","0.0007432362826233123","24","0.0007432362826233123","0","0.0007432362826233123","0.0007432362826233123","53:68;55:68","53:0.006106586378258699;55:0.002739372248330152","53:0.005084898947048583;55:0.004139865367267681","0.008544921875","Yes"
"55","138.47775132591605","141.12707970602813","0.0552978515625","0.062255859375","0.04833984375","1560","0.00047723997899579515","24","0.00047723997899579515","0","0.00047723997899579515","0.00047723997899579515","59:68;54:68","59:0.002240956845599773;54:0.002739372248330152","59:0.0020340834267608687;54:0.004139865367267681","0.0552978515625","Yes"
"56","202.5872914220943","184.2967728943273","0.01171875","0.01171875","0.01171875","1560","0.00037012000891792617","24","0.00037012000891792617","0","0.00037012000891792617","0.00037012000891792617","63:68;43:68","63:0.00446510839906758;43:0.0030978305382295956","63:0.005748294992503594;43:0.007203968733509036","0.01171875","Yes"
"57","141.37249721060655","64.0877603826046","0.0078125","0.01025390625","0.00537109375","1560","0.0007374395267598892","24","0.0007374395267598892","0","0.0007374395267598892","0.0007374395267598892","47:68;67:68","47:0.0033322297537601298;67:0.011854135557646778","47:0.017769432090692594;67:0.008815847098619961","0.0078125","Yes"
