"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"25","176.38943508956265","71.88230660880211","0.335693359375","0.130615234375","0.540771484375","2584","0.0004023361847574829","36","0.0004023361847574829","0","0.0004023361847574829","0.0004023361847574829","24:0.0034603871283949428;26:0.0166403008838098;37:0.007873121456738519","24:68;26:68;37:68","24:0.0029745787706207116;26:0.01609050974704715;37:0.004240058116880024","0.335693359375","Yes"
"26","5.709997370853263","8.663403768492959","0.0518798828125","0.078857421875","0.02490234375","2584","0.0067979881817311774","36","0.0067979881817311774","0","0.0067979881817311774","0.0067979881817311774","25:0.0166403008838098;27:0.011447846875319606","25:68;27:68","25:0.01609050974704715;27:0.013897779282462441","0.0518798828125","Yes"
"27","196.88218346117105","177.92040661468636","0.0299072265625","0.0126953125","0.0400390625","2584","0.0002862223671310024","36","0.0002862223671310024","0","0.0002862223671310024","0.0002862223671310024","26:0.011447846875319606;28:0.0021646535930854582;17:0.0024531595580256083","26:68;28:68;17:68","26:0.013897779282462441;28:0.0019309917299950297;17:0.0019074331910155784","0.0299072265625","Yes"
"28","106.60447780426273","128.1182075805682","0.00830078125","0.008544921875","0.008056640625","2584","0.00032090125979637474","36","0.00032090125979637474","0","0.00032090125979637474","0.00032090125979637474","27:0.0021646535930854582;29:0.0036155613567641076","27:68;29:68","27:0.0019309917299950297;29:0.0031188137652770065","0.00830078125","Yes"
"29","82.43779776098853","65.03380201487055","0.06103515625","0.046142578125","0.075927734375","2584","0.00038445065121917884","36","0.00038445065121917884","0","0.00038445065121917884","0.00038445065121917884","38:0.0034669449164486943;28:0.0036155613567641076;30:0.0022431295845464494","38:68;28:68;30:68","38:0.003108771732809268;28:0.0031188137652770065;30:0.002443067618313116","0.06103515625","Yes"
"30","223.13983232456314","77.59071720092251","0.0098876953125","0.009521484375","0.01025390625","2584","0.0004392875798894079","36","0.0004392875798894079","0","0.0004392875798894079","0.0004392875798894079","31:0.0020363081755916113;29:0.0022431295845464494","31:68;29:68","31:0.002988520428409025;29:0.002443067618313116","0.0098876953125","Yes"
"31","125.75148728193177","52.659028694611955","0.015380859375","0.016357421875","0.014404296875","2584","0.00023627103480973794","36","0.00023627103480973794","0","0.00023627103480973794","0.00023627103480973794","30:0.0020363081755916113;32:0.0029978128540660565;18:0.002703982295634788","30:68;32:68;18:68","30:0.002988520428409025;32:0.002408066115014318;18:0.0019381983196110897","0.015380859375","Yes"
"32","168.2516097321345","36.66320587108874","0.0172119140625","0.01806640625","0.016357421875","2584","0.00031316277416278116","36","0.00031316277416278116","0","0.00031316277416278116","0.00031316277416278116","31:0.0029978128540660565;33:0.0020315288853861024","31:68;33:68","31:0.002408066115014318;33:0.0014981902821007143","0.0172119140625","Yes"
"33","128.1866643042644","31.65608483772535","0.0064697265625","0.0126953125","0.000244140625","2584","0.0002930367175322929","36","0.0002930367175322929","0","0.0002930367175322929","0.0002930367175322929","39:0.001704690647196222;32:0.0020315288853861024;34:0.0012675183315411787","39:68;32:68;34:68","32:0.0014981902821007143;34:0.001608603481109111","0.0064697265625","Yes"
"34","161.5739768904562","129.2595780071894","0.0045166015625","0.005859375","0.003173828125","2584","0.0004836620653282139","36","0.0004836620653282139","0","0.0004836620653282139","0.0004836620653282139","33:0.0012675183315411787;35:0.0015140433186543734","33:68;35:68","33:0.001608603481109111;35:0.0019005297793690812","0.0045166015625","Yes"
"35","381.9856748158519","457.4607406662839","0.268310546875","0.13525390625","0.4013671875","2584","0.00006830237134343976","36","0.00006830237134343976","0","0.00006830237134343976","0.00006830237134343976","19:0.001520097880232718;34:0.0015140433186543734","19:80;34:68","19:0.002346565155686181;34:0.0019005297793690812","0.268310546875","Yes"
